cycle,level,air_flow,feed_flow,tailings_flow,concentrate_grade,emergency_stop,motor_running
242,50.243,30.000,40.000,38.000,82.055,false,true
243,50.244,30.000,40.000,38.000,82.055,false,true
244,50.245,30.000,40.000,38.000,82.055,false,true
245,50.246,30.000,40.000,38.000,82.055,false,true
246,50.247,30.000,40.000,38.000,82.055,false,true
247,50.248,30.000,40.000,38.000,82.055,false,true
248,50.249,30.000,40.000,38.000,82.055,false,true
249,50.250,30.000,40.000,38.000,82.055,false,true
250,50.251,30.000,40.000,38.000,82.055,false,true
251,50.252,30.000,40.000,38.000,82.055,false,true
252,50.253,30.000,40.000,38.000,82.055,false,true
253,50.254,30.000,40.000,38.000,82.055,false,true
254,50.255,30.000,40.000,38.000,82.055,false,true
255,50.256,30.000,40.000,38.000,82.055,false,true
256,50.257,30.000,40.000,38.000,82.055,false,true
257,50.258,30.000,40.000,38.000,82.055,false,true
258,50.259,30.000,40.000,38.000,82.055,false,true
259,50.260,30.000,40.000,38.000,82.055,false,true
260,50.261,30.000,40.000,38.000,82.055,false,true
261,50.262,30.000,40.000,38.000,82.055,false,true
262,50.263,30.000,40.000,38.000,82.055,false,true
263,50.264,30.000,40.000,38.000,82.055,false,true
264,50.265,30.000,40.000,38.000,82.055,false,true
265,50.266,30.000,40.000,38.000,82.055,false,true
266,50.267,30.000,40.000,38.000,82.055,false,true
267,50.268,30.000,40.000,38.000,82.055,false,true
268,50.269,30.000,40.000,38.000,82.055,false,true
269,50.270,30.000,40.000,38.000,82.055,false,true
270,50.271,30.000,40.000,38.000,82.055,false,true
271,50.272,30.000,40.000,38.000,82.055,false,true
272,50.273,30.000,40.000,38.000,82.055,false,true
273,50.274,30.000,40.000,38.000,82.055,false,true
274,50.275,30.000,40.000,38.000,82.055,false,true
275,50.276,30.000,40.000,38.000,82.056,false,true
276,50.277,30.000,40.000,38.000,82.056,false,true
277,50.278,30.000,40.000,38.000,82.056,false,true
278,50.279,30.000,40.000,38.000,82.056,false,true
279,50.280,30.000,40.000,38.000,82.056,false,true
280,50.281,30.000,40.000,38.000,82.056,false,true
281,50.282,30.000,40.000,38.000,82.056,false,true
282,50.283,30.000,40.000,38.000,82.056,false,true
283,50.284,30.000,40.000,38.000,82.056,false,true
284,50.285,30.000,40.000,38.000,82.056,false,true
285,50.286,30.000,40.000,38.000,82.056,false,true
286,50.287,30.000,40.000,38.000,82.056,false,true
287,50.288,30.000,40.000,38.000,82.056,false,true
288,50.289,30.000,40.000,38.000,82.056,false,true
289,50.290,30.000,40.000,38.000,82.056,false,true
290,50.291,30.000,40.000,38.000,82.056,false,true
291,50.292,30.000,40.000,38.000,82.056,false,true
292,50.293,30.000,40.000,38.000,82.056,false,true
293,50.294,30.000,40.000,38.000,82.056,false,true
294,50.295,30.000,40.000,38.000,82.056,false,true
295,50.296,30.000,40.000,38.000,82.056,false,true
296,50.297,30.000,40.000,38.000,82.056,false,true
297,50.298,30.000,40.000,38.000,82.056,false,true
298,50.299,30.000,40.000,38.000,82.056,false,true
299,50.300,30.000,40.000,38.000,82.056,false,true
300,50.301,30.000,40.000,38.000,82.056,false,true
301,50.302,30.000,40.000,38.000,82.056,false,true
302,50.303,30.000,40.000,38.000,82.056,false,true
303,50.304,30.000,40.000,38.000,82.056,false,true
304,50.305,30.000,40.000,38.000,82.056,false,true
305,50.306,30.000,40.000,38.000,82.056,false,true
306,50.307,30.000,40.000,38.000,82.056,false,true
307,50.308,30.000,40.000,38.000,82.056,false,true
308,50.309,30.000,40.000,38.000,82.056,false,true
309,50.310,30.000,40.000,38.000,82.056,false,true
310,50.311,30.000,40.000,38.000,82.056,false,true
311,50.312,30.000,40.000,38.000,82.056,false,true
312,50.313,30.000,40.000,38.000,82.056,false,true
313,50.314,30.000,40.000,38.000,82.056,false,true
314,50.315,30.000,40.000,38.000,82.056,false,true
315,50.316,30.000,40.000,38.000,82.056,false,true
316,50.317,30.000,40.000,38.000,82.056,false,true
317,50.318,30.000,40.000,38.000,82.056,false,true
318,50.319,30.000,40.000,38.000,82.056,false,true
319,50.320,30.000,40.000,38.000,82.056,false,true
320,50.321,30.000,40.000,38.000,82.056,false,true
321,50.322,30.000,40.000,38.000,82.056,false,true
322,50.323,30.000,40.000,38.000,82.056,false,true
323,50.324,30.000,40.000,38.000,82.056,false,true
324,50.325,30.000,40.000,38.000,82.056,false,true
325,50.326,30.000,40.000,38.000,82.057,false,true
326,50.327,30.000,40.000,38.000,82.057,false,true
327,50.328,30.000,40.000,38.000,82.057,false,true
328,50.329,30.000,40.000,38.000,82.057,false,true
329,50.330,30.000,40.000,38.000,82.057,false,true
330,50.331,30.000,40.000,38.000,82.057,false,true
331,50.332,30.000,40.000,38.000,82.057,false,true
332,50.333,30.000,40.000,38.000,82.057,false,true
333,50.334,55.000,40.000,38.000,82.807,false,true
334,50.335,55.000,40.000,38.000,82.807,false,true
335,50.336,55.000,40.000,38.000,82.807,false,true
336,50.337,55.000,40.000,38.000,82.807,false,true
337,50.338,55.000,40.000,38.000,82.807,false,true
338,50.339,55.000,40.000,38.000,82.807,false,true
339,50.340,55.000,40.000,38.000,82.807,false,true
340,50.341,55.000,40.000,38.000,82.807,false,true
341,50.342,55.000,40.000,38.000,82.807,false,true
342,50.343,55.000,40.000,38.000,82.807,false,true
343,50.344,55.000,40.000,38.000,82.807,false,true
344,50.345,55.000,40.000,38.000,82.807,false,true
345,50.346,55.000,40.000,38.000,82.807,false,true
346,50.347,55.000,40.000,38.000,82.807,false,true
347,50.348,55.000,40.000,38.000,82.807,false,true
348,50.349,55.000,40.000,38.000,82.807,false,true
349,50.350,55.000,40.000,38.000,82.807,false,true
350,50.351,55.000,40.000,38.000,82.807,false,true
351,50.352,55.000,40.000,38.000,82.807,false,true
352,50.353,55.000,40.000,38.000,82.807,false,true
353,50.354,55.000,40.000,38.000,82.807,false,true
354,50.355,55.000,40.000,38.000,82.807,false,true
355,50.356,55.000,40.000,38.000,82.807,false,true
356,50.357,55.000,40.000,38.000,82.807,false,true
357,50.358,55.000,40.000,38.000,82.807,false,true
358,50.359,55.000,40.000,38.000,82.807,false,true
359,50.360,55.000,40.000,38.000,82.807,false,true
360,50.361,55.000,40.000,38.000,82.807,false,true
361,50.362,55.000,40.000,38.000,82.807,false,true
362,50.363,55.000,40.000,38.000,82.807,false,true
363,50.364,55.000,40.000,38.000,82.807,false,true
364,50.365,55.000,40.000,38.000,82.807,false,true
365,50.366,55.000,40.000,38.000,82.807,false,true
366,50.367,55.000,40.000,38.000,82.807,false,true
367,50.368,55.000,40.000,38.000,82.807,false,true
368,50.369,55.000,40.000,38.000,82.807,false,true
369,50.370,55.000,40.000,38.000,82.807,false,true
370,50.371,55.000,40.000,38.000,82.807,false,true
371,50.372,55.000,40.000,38.000,82.807,false,true
372,50.373,55.000,40.000,38.000,82.807,false,true
373,50.374,55.000,40.000,38.000,82.807,false,true
374,50.375,55.000,40.000,38.000,82.807,false,true
375,50.376,55.000,40.000,38.000,82.808,false,true
376,50.377,55.000,40.000,38.000,82.808,false,true
377,50.378,55.000,40.000,38.000,82.808,false,true
378,50.379,55.000,40.000,38.000,82.808,false,true
379,50.380,55.000,40.000,38.000,82.808,false,true
380,50.381,55.000,40.000,38.000,82.808,false,true
381,50.382,55.000,40.000,38.000,82.808,false,true
382,50.383,55.000,40.000,38.000,82.808,false,true
383,50.384,55.000,40.000,38.000,82.808,false,true
384,50.385,55.000,40.000,38.000,82.808,false,true
385,50.386,55.000,40.000,38.000,82.808,false,true
386,50.387,55.000,40.000,38.000,82.808,false,true
387,50.388,55.000,40.000,38.000,82.808,false,true
388,50.389,55.000,40.000,38.000,82.808,false,true
389,50.390,55.000,40.000,38.000,82.808,false,true
390,50.391,55.000,40.000,38.000,82.808,false,true
391,50.392,55.000,40.000,38.000,82.808,false,true
392,50.393,55.000,40.000,38.000,82.808,false,true
393,50.394,55.000,40.000,38.000,82.808,false,true
394,50.395,55.000,40.000,38.000,82.808,false,true
395,50.396,55.000,40.000,38.000,82.808,false,true
396,50.397,55.000,40.000,38.000,82.808,false,true
397,50.398,55.000,40.000,38.000,82.808,false,true
398,50.399,55.000,40.000,38.000,82.808,false,true
399,50.400,55.000,40.000,38.000,82.808,false,true
400,50.401,55.000,40.000,38.000,82.808,false,true
401,50.402,55.000,40.000,38.000,82.808,false,true
402,50.403,55.000,40.000,38.000,82.808,false,true
403,50.404,55.000,40.000,38.000,82.808,false,true
404,50.405,55.000,40.000,38.000,82.808,false,true
405,50.406,55.000,40.000,38.000,82.808,false,true
406,50.407,55.000,40.000,38.000,82.808,false,true
407,50.408,55.000,40.000,38.000,82.808,false,true
408,50.409,55.000,40.000,38.000,82.808,false,true
409,50.410,55.000,40.000,38.000,82.808,false,true
410,50.411,55.000,40.000,38.000,82.808,false,true
411,50.412,55.000,40.000,38.000,82.808,false,true
412,50.413,55.000,40.000,38.000,82.808,false,true
413,50.414,55.000,40.000,38.000,82.808,false,true
414,50.415,55.000,40.000,38.000,82.808,false,true
415,50.416,55.000,40.000,38.000,82.808,false,true
416,50.417,55.000,40.000,38.000,82.808,false,true
417,50.418,55.000,40.000,38.000,82.808,false,true
418,50.419,55.000,40.000,38.000,82.808,false,true
419,50.420,55.000,40.000,38.000,82.808,false,true
420,50.421,55.000,40.000,38.000,82.808,false,true
421,50.422,55.000,40.000,38.000,82.808,false,true
422,50.423,55.000,40.000,38.000,82.808,false,true
423,50.424,55.000,40.000,38.000,82.808,false,true
424,50.425,55.000,40.000,38.000,82.808,false,true
425,50.426,55.000,40.000,38.000,82.809,false,true
426,50.427,55.000,40.000,38.000,82.809,false,true
427,50.428,55.000,40.000,38.000,82.809,false,true
428,50.429,55.000,40.000,38.000,82.809,false,true
429,50.430,55.000,40.000,38.000,82.809,false,true
430,50.431,55.000,40.000,38.000,82.809,false,true
431,50.432,55.000,40.000,38.000,82.809,false,true
432,50.433,55.000,40.000,38.000,82.809,false,true
433,50.434,55.000,40.000,38.000,82.809,false,true
434,50.435,55.000,40.000,38.000,82.809,false,true
435,50.436,55.000,40.000,38.000,82.809,false,true
436,50.437,55.000,40.000,38.000,82.809,false,true
437,50.438,55.000,40.000,38.000,82.809,false,true
438,50.439,55.000,40.000,38.000,82.809,false,true
439,50.440,55.000,40.000,38.000,82.809,false,true
440,50.441,55.000,40.000,38.000,82.809,false,true
441,50.442,55.000,40.000,38.000,82.809,false,true
442,50.443,55.000,40.000,38.000,82.809,false,true
443,50.444,55.000,40.000,38.000,82.809,false,true
444,50.445,55.000,40.000,38.000,82.809,false,true
445,50.446,55.000,40.000,38.000,82.809,false,true
446,50.447,55.000,40.000,38.000,82.809,false,true
447,50.448,55.000,40.000,38.000,82.809,false,true
448,50.449,55.000,40.000,38.000,82.809,false,true
449,50.450,55.000,40.000,38.000,82.809,false,true
450,50.451,55.000,40.000,38.000,82.809,false,true
451,50.452,55.000,40.000,38.000,82.809,false,true
452,50.453,55.000,40.000,38.000,82.809,false,true
453,50.454,55.000,40.000,38.000,82.809,false,true
454,50.455,55.000,40.000,38.000,82.809,false,true
455,50.456,55.000,40.000,38.000,82.809,false,true
456,50.457,55.000,40.000,38.000,82.809,false,true
457,50.458,55.000,40.000,38.000,82.809,false,true
458,50.459,55.000,40.000,38.000,82.809,false,true
459,50.460,55.000,40.000,38.000,82.809,false,true
460,50.461,55.000,40.000,38.000,82.809,false,true
461,50.462,55.000,40.000,38.000,82.809,false,true
462,50.463,55.000,40.000,38.000,82.809,false,true
463,50.464,55.000,40.000,38.000,82.809,false,true
464,50.465,55.000,40.000,38.000,82.809,false,true
465,50.466,55.000,40.000,38.000,82.809,false,true
466,50.467,55.000,40.000,38.000,82.809,false,true
467,50.468,55.000,40.000,38.000,82.809,false,true
468,50.469,55.000,40.000,38.000,82.809,false,true
469,50.470,55.000,40.000,38.000,82.809,false,true
470,50.471,55.000,40.000,38.000,82.809,false,true
471,50.472,55.000,40.000,38.000,82.809,false,true
472,50.473,55.000,40.000,38.000,82.809,false,true
473,50.474,55.000,40.000,38.000,82.809,false,true
474,50.475,55.000,40.000,38.000,82.809,false,true
475,50.476,55.000,40.000,38.000,82.810,false,true
476,50.477,55.000,40.000,38.000,82.810,false,true
477,50.478,55.000,40.000,38.000,82.810,false,true
478,50.479,55.000,40.000,38.000,82.810,false,true
479,50.480,55.000,40.000,38.000,82.810,false,true
480,50.481,55.000,40.000,38.000,82.810,false,true
481,50.482,55.000,40.000,38.000,82.810,false,true
482,50.483,55.000,40.000,38.000,82.810,false,true
483,50.484,55.000,40.000,38.000,82.810,false,true
484,50.485,55.000,40.000,38.000,82.810,false,true
485,50.486,55.000,40.000,38.000,82.810,false,true
486,50.487,55.000,40.000,38.000,82.810,false,true
487,50.488,55.000,40.000,38.000,82.810,false,true
488,50.489,55.000,40.000,38.000,82.810,false,true
489,50.490,55.000,40.000,38.000,82.810,false,true
490,50.491,55.000,40.000,38.000,82.810,false,true
